gene ID,gene_symbol,UniGene symbol,GenBank_id,Accession,gene_name,organism,p-value,sample,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,link,change_type,n_of_control,n_of_experiment,percent_of_change,FC,logFC,q-value,FDR
NM_000018,ACADVL,,,,"acyl-Coenzyme A dehydrogenase, very long chain",human,"0,01790863776",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,110,"2,11",,,
,ACF,ACF,,,Apobec-1 complementation factor,human,"0,00031",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-19,9775748",0.800224252,,,4.083053576
,ACKR2,CCBP2,,,chemokine binding protein 2,human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-28,1417541",0.718582459,,,5.234573694
,ACN9,,,NM_020186.1,,human,"0,000018",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,ACOT8,PTE1,,,peroxisomal acyl-CoA thioesterase,human,"0,0207",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-18,38648645",0.8161351354863272,,,9.271695889
AF241787,ACOT9,,,,"likely ortholog of mouse acyl-Coenzyme A thioesterase 2, mitochondrial",human,"0,01287776894",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,90,"1,91",,,
,ACP1,ACP1,,,"acid phosphatase 1, soluble",human,"0,0281",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"10,5781144",1.105781144,,,7.425651557
NM_001610,ACP2,,,,"acid phosphatase 2, lysosomal",human,"0,0004798804719",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,54,"1,54",,,
,ACRV1,ACRV1,,,acrosomal vesicle protein 1,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-23,1190755",0.768809245,,,7.08522883
,ACSBG1,,,AB014531,mRNA for KIAA0631 protein,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,100,2.0,,0.005124108,
NM_016234,ACSL5,,,,"fatty-acid-Coenzyme A ligase, long-chain 5",human,"0,0009667113779",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,70,"1,7",,,
,ACTA1,,,J00068,"actin, alpha 1, skeletal muscle",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-47,08994709",-1.89,,0.002142,
,ACTG1,ACTG1,,,"actin, gamma 1",human,"0,0281",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"43,7398897",1.437398897,,,6.354174563
,ACTG1,ACTG1,,,"actin, gamma 1",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"35,8405051",1.358405051,,,5.506014094
AI082078,ACTN1,,,,"actinin, alpha 1",human,"0,0008737822048",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-49,74874372","1,99",,,
U48734,ACTN4,,,,"actinin, alpha 4 /// actinin, alpha 4",human,"0,00073258749",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,89,"1,9",,,
NM_001616,ACVR2A,,,,"activin A receptor, type II",human,"0,0009887811801",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,53,"1,53",,,
,ACY-3,ACY-3,,,aspartoacylase-3,human,"0,00031",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-23,72175972",0.7627824028412924,,,4.695695038
,AD-003,AD-003,,,AD-003 protein,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-11,77951941",0.8822048059284565,,,8.175499961
,AD-020,AD-020,,,protein x 013,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"24,23061355",1.242306135479418,,,5.506014094
,ADAM10,ADAM10,,,disintegrin and metalloproteinase domain 10,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"17,5149345",1.175149345,,,6.354174563
AU135154,ADAM10,,,,a disintegrin and metalloproteinase domain 10,human,"0,003985316712",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-47,64397906","1,91",,,
NM_001109,ADAM8,,,,a disintegrin and metalloproteinase domain 8,human,"0,0004127880616",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,188,"2,88",,,
,ADAMTS5,,,NM_007038.1,,human,"0,0032679",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,50,"1,5",,,
AF033861,ADCY3,,,,adenylate cyclase 3,human,"0,004491917147",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,143,"2,43",,,
,ADD3,,,D67031,adducin 3 (gamma),human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,81,1.81,,0.002142,
,ADH1A,,,NM_000667.2,,human,"0,0027493",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,70,"1,7",,,
,ADH1B,,,NM_000668.3,,human,"0,0254627",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,90,"1,9",,,
,ADIRF,,,AI381790,adipose specific 2,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,67,1.67,,0.006478758,
NM_001123,ADK,,,,adenosine kinase,human,"0,002954695052",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-53,27102804","2,14",,,
,ADPRHL2,,,NM_017825.1,,human,"0,0218674",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
M80776,ADRBK1,,,,"adrenergic, beta, receptor kinase 1",human,"0,003283566861",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-37,10691824","1,59",,,
NM_001130,AES,,,,amino-terminal enhancer of split,human,"0,006903446058",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-45,65217391","1,84",,,
,AGO2,EIF2C2,,,"eukaryotic translation initiation factor 2C, 2",human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"30,40921357",1.3040921357173014,,,5.385423359
,AGPAT1,AGPAT1,,,"lysophosphatidic acid acyltransferase, alpha",human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-12,4855836",0.875144164,,,9.271695889
,AGT,,,K02215,"angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A8",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,59,1.59,,0.002142,
,AGXT2L1,,,NM_031279.2,,human,"0,00000519",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,AHCYL1,,,R59606,S-adenosylhomocysteine hydrolase-like 1,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,59,1.59,,0.002142,
,AHCYL1,,,AI800578,S-adenosylhomocysteine hydrolase-like 1,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,63,1.63,,0.002142,
,AHCYL2,,,AB020635,KIAA0828 protein,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,70,1.7,,0.002142,
,AHNAK,,,M80899,hypothetical protein MGC5395,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,93,1.93,,0.002142,
,AHNAK,AHNAK,,,AHNAK nucleoprotein (desmoyokin),human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"32,9572112",1.329572112,,,5.915805962
NM_001621,AHR,,,,aryl hydrocarbon receptor,human,"0,01763255861",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,83,"1,83",,,
,AHSA2P,DKFZp564C236,,,hypothetical protein DKFZp564C236,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,32,1.3243317934396297,0.40526461518285617,8.175499961,
NM_022831,AIDA,,,,hypothetical protein FLJ12806,human,"0,01454624476",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,02439024","1,64",,,
AL558532,AIP,,,,aryl hydrocarbon receptor interacting protein,human,"0,02245856196",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-45,35519126","1,83",,,
,AK2,,,NM_172199.1,,human,"0,01747",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,AK2,,,NM_001625.2,,human,"0,0480982",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
AK022014,AKAP13,,,,A kinase (PRKA) anchor protein 13,human,"0,004864317215",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,57,"1,57",,,
,AKAP7,,,NM_004842.2,,human,"0,0139523",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,AKAP8,,,NM_005858.2,,human,"0,0056758",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
AK000270,AKAP9,,,,A kinase (PRKA) anchor protein (yotiao) 9,human,"0,006503995512",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,129,"2,29",,,
N32526,AKT3,,,,serologically defined colon cancer antigen 8,human,"0,000472801966",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,75903614","1,66",,,
NM_022476,AKTIP,,,,fused toes homolog (mouse),human,"9,81E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-63,50364964","2,74",,,
,ALDH1B1,,,NM_000692.3,,human,"0,0001175",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,ALDH4A1,,,U24266,"aldehyde dehydrogenase 4 family, member A1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,56,1.56,,0.002142,
NM_005589,ALDH6A1,,,,"aldehyde dehydrogenase 6 family, member A1",human,"0,0001722588071",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-48,1865285","1,93",,,
,ALDH9A1,,,U34252,"aldehyde dehydrogenase 9 family, member A1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,58,1.58,,0.002142,
,ALEX3,ALEX3,,,ALEX3 protein,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-30,65937066",0.6934062934220401,,,6.354174563
,ALKBH7,MGC10974,,,hypothetical protein MGC10974,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,-22,0.7741908166580735,-0.36923890020009,5.385423359,
NM_001629,ALOX5AP,,,,arachidonate 5-lipoxygenase-activating protein,human,"0,0004974173166",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,135,"2,35",,,
,ALS2CR2,,,NM_018571.4,,human,"0,00000000635",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,ALS2CR3,,,NM_015049.1,,human,"0,0045653",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,AMOT,,,AB028994,angiomotin,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,61,1.61,,0.002142,
,AMOT,,,NM_133265.1,,human,"0,0168473",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,AMOTL2,,,AB023206,angiomotin like 2,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,56,1.56,,0.009920598,
,ANAPC5,ANAPC5,,,anaphase-promoting complex subunit 5,human,"0,00016",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"19,7327005",1.197327005,,,1.555448981
,ANAPC5,ANAPC5,,,anaphase-promoting complex subunit 5,human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"15,1109236",1.151109236,,,2.835248776
,ANK2,,,X56958,"ankyrin 2, neuronal",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-53,27102804",-2.14,,0.002142,
NM_020987,ANK3,,,,"ankyrin 3, node of Ranvier (ankyrin G)",human,"0,01246225123",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,432,"5,32",,,
,ANKRD13C,DKFZP566D1346,,,hypothetical protein DKFZp566D1346,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,55,1.5529711094968215,0.635030990978686,7.08522883,
,ANKT,ANKT,,,Nucleolar protein ANKT,human,"0,00016",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"23,4454588",1.234454588,,,6.354174563
,ANP32B,,,Y07969,acidic (leucine-rich) nuclear phosphoprotein 32B,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,65,1.65,,0.003812139,
,ANP32B,ANP32B,,,"Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"17,4426518",1.174426518,,,7.425651557
,ANP32B,,,NM_006401.1,,human,"0,0177783",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
NM_000700,ANXA1,,,,annexin A1,human,"0,008810483794",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,60,"1,6",,,
,ANXA3,,,M20560,annexin A3,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,127,2.27,,0.005124108,
NM_001153,ANXA4,,,,annexin A4,human,"5,87E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,337,"4,37",,,
,ANXA5,,,U05770,annexin A5,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,56,1.56,,0.007611041,
,ANXA7,ANXA7,,,annexin A7,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"20,716057",1.20716057,,,4.083053576
AB011173,AOF2,,,,KIAA0601 protein,human,"0,001064508067",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-36,30573248","1,57",,,
,AP2B1,,,NM_001282.1,,human,"0,0061971",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-20,"0,8",,,
,AP3S1,,,NM_001284.1,,human,"0,0344798",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
AF155159,AP4S1,,,,"adaptor-related protein complex 4, sigma 1 subunit",human,"0,006971026385",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-38,27160494","1,62",,,
,APACD,APACD,,,ATP binding protein associated with cell differentiation,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"9,6545597",1.096545597,,,8.175499961
